class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
HttpbinTestCase,test_httpbin.py,77,75,0,0.943,58,75,896,191,14.49,31,0,0
CaseInsensitiveDict,httpbin\structures.py,4,3,1,0.333,5,5,23,6,5.8,3,0,0
